Roll Number,Total Marks,Rank
503607,1129,399
504466,1129,400
530432,1129,401
550606,1128,402
525153,1128,403
511301,1128,404
533812,1128,405
519102,1128,406
549170,1128,407
532240,1128,408
508997,1128,409
528903,1128,410
532879,1128,411
526151,1128,412
534794,1128,413
513683,1128,414
515032,1128,415
500029,1127,416
538461,1127,417
522357,1127,418
524851,1127,419
513222,1127,420
535117,1127,421
526628,1127,422
518659,1127,423
531280,1127,424
535952,1127,425
509957,1126,426
526569,1126,427
524175,1126,428
538614,1126,429
528744,1126,430
515453,1126,431
525041,1126,432
526588,1126,433
538596,1126,434
526171,1126,435
540307,1126,436
545886,1126,437
524343,1126,438
516203,1126,439
543023,1126,440
549298,1126,441
515134,1126,442
501693,1126,443
535214,1126,444
537841,1126,445
517785,1126,446
507548,1126,447
519706,1125,448
549528,1125,449
504459,1125,450
520061,1125,451
538480,1125,452
506389,1125,453
506951,1125,454
550636,1125,455
538924,1125,456
500179,1125,457
511210,1124,458
510181,1124,459
500023,1124,460
517126,1124,461
503420,1124,462
526160,1124,463
524902,1124,464
516034,1124,465
534979,1123,466
547806,1123,467
538246,1123,468
526598,1123,469
515324,1123,470
538463,1123,471
549322,1123,472
525484,1123,473
526604,1123,474
531518,1123,475
526331,1123,476
545877,1123,477
539949,1123,478
525451,1123,479
545876,1122,480
525476,1122,481
500038,1122,482
509020,1122,483
501692,1122,484
523650,1122,485
500371,1122,486
530364,1122,487
519083,1122,488
521962,1122,489
519007,1122,490
540854,1122,491
525455,1122,492
502359,1122,493
536319,1121,494
530416,1121,495
534585,1121,496
504609,1121,497
526555,1121,498
535143,1121,499
534996,1121,500
519707,1121,501
511306,1121,502
519737,1121,503
515563,1121,504
504235,1121,505
502579,1121,506
533670,1121,507
524194,1120,508
500365,1120,509
540543,1120,510
533333,1120,511
530411,1120,512
523662,1120,513
512904,1120,514
530362,1120,515
535236,1120,516
517099,1120,517
515933,1120,518
537878,1120,519
538592,1119,520
538597,1119,521
514974,1119,522
534410,1119,523
511932,1119,524
519527,1119,525
515129,1119,526
525449,1119,527
530363,1119,528
532714,1119,529
535414,1119,530
534582,1119,531
515695,1119,532
522368,1119,533
535144,1119,534
511215,1119,535
531620,1119,536
534999,1119,537
522628,1118,538
501751,1118,539
518517,1118,540
510174,1118,541
538314,1118,542
518812,1118,543
510883,1118,544
505151,1118,545
524215,1118,546
530415,1118,547
519004,1118,548
515173,1118,549
534994,1118,550
531392,1118,551
500471,1118,552
514665,1118,553
541474,1118,554
514695,1117,555
519493,1117,556
522354,1117,557
534982,1117,558
528031,1117,559
504829,1117,560
518378,1117,561
525441,1117,562
524216,1117,563
515458,1117,564
537808,1117,565
534296,1117,566
538601,1117,567
525066,1117,568
523238,1117,569
535652,1117,570
537845,1117,571
504189,1117,572
537979,1117,573
515576,1116,574
537595,1116,575
515946,1116,576
517738,1116,577
501483,1116,578
520062,1116,579
503626,1116,580
524696,1116,581
525054,1116,582
518699,1116,583
504699,1116,584
534828,1116,585
504470,1116,586
526207,1116,587
502337,1116,588
500253,1116,589
535024,1115,590
540105,1115,591
538375,1115,592
506948,1115,593
502364,1115,594
537693,1115,595
538557,1115,596
519123,1115,597
549341,1114,598
518995,1114,599
537847,1114,600
524860,1114,601
526584,1114,602
535085,1114,603
544124,1114,604
509964,1114,605
535377,1114,606
547972,1114,607
535142,1114,608
541263,1114,609
532212,1114,610
524957,1114,611
535413,1114,612
519474,1114,613
536224,1114,614
523676,1113,615
523683,1113,616
535541,1113,617
540056,1113,618
549187,1113,619
518169,1113,620
520265,1113,621
523654,1113,622
515022,1113,623
510628,1113,624
514518,1113,625
515133,1113,626
500024,1113,627
508327,1112,628
534242,1112,629
509021,1112,630
529250,1112,631
511270,1112,632
518524,1112,633
534798,1112,634
539948,1112,635
534533,1112,636
547901,1112,637
517133,1112,638
518984,1112,639
517121,1112,640
519709,1112,641
521255,1112,642
518804,1112,643
507238,1112,644
515441,1112,645
514612,1111,646
527157,1111,647
525310,1111,648
514020,1111,649
534442,1111,650
504828,1111,651
515468,1111,652
522663,1111,653
527819,1111,654
534766,1110,655
510176,1110,656
515140,1110,657
510093,1110,658
538620,1110,659
522358,1110,660
515143,1110,661
502902,1110,662
515148,1110,663
515147,1110,664
546992,1110,665
519189,1110,666
547868,1110,667
501250,1110,668
515445,1110,669
524918,1110,670
528091,1110,671
525450,1109,672
512895,1109,673
502901,1109,674
525472,1109,675
502962,1109,676
500022,1109,677
513221,1109,678
522360,1109,679
517188,1109,680
504448,1109,681
511298,1109,682
501643,1109,683
525438,1108,684
511935,1108,685
530412,1108,686
528615,1108,687
537819,1108,688
524867,1108,689
531513,1108,690
523658,1108,691
519062,1108,692
515714,1108,693
515026,1108,694
513220,1108,695
534803,1108,696
526685,1108,697
521256,1108,698
515423,1108,699
519756,1108,700
534965,1108,701
509925,1108,702
538604,1108,703
515594,1108,704
528093,1107,705
541331,1107,706
508322,1107,707
508319,1107,708
502580,1107,709
515149,1107,710
540213,1107,711
521007,1107,712
540215,1107,713
544712,1107,714
527728,1107,715
535925,1107,716
526350,1107,717
512897,1107,718
535001,1107,719
538255,1107,720
507710,1107,721
505152,1107,722
508331,1106,723
549950,1106,724
536393,1106,725
526148,1106,726
503163,1106,727
540065,1106,728
524787,1106,729
534734,1106,730
529094,1106,731
518401,1106,732
502738,1106,733
530371,1106,734
549973,1106,735
514702,1106,736
515188,1106,737
529987,1105,738
524246,1105,739
522193,1105,740
506731,1105,741
529986,1105,742
525457,1105,743
537838,1105,744
536320,1105,745
532722,1105,746
514567,1105,747
537152,1105,748
504450,1105,749
502074,1105,750
534913,1105,751
504467,1105,752
515702,1105,753
507464,1105,754
513377,1105,755
518661,1105,756
507499,1105,757
518988,1104,758
501374,1104,759
534986,1104,760
538613,1104,761
519067,1104,762
523659,1104,763
530619,1104,764
532267,1104,765
550609,1104,766
513414,1104,767
529139,1104,768
524855,1104,769
538575,1104,770
515142,1104,771
538195,1104,772
537699,1104,773
539090,1104,774
515496,1103,775
526565,1103,776
524949,1103,777
510190,1103,778
548503,1103,779
524697,1103,780
521091,1103,781
525446,1103,782
515163,1103,783
549342,1103,784
533209,1103,785
504058,1103,786
517113,1103,787
528083,1103,788
535533,1103,789
522419,1103,790
519492,1103,791
523652,1103,792
547807,1103,793
524213,1103,794
535700,1103,795
545277,1103,796
500759,1102,797
523437,1102,798
515389,1102,799
523657,1102,800
518520,1102,801
536225,1102,802
503695,1102,803
534927,1102,804
516140,1102,805
532974,1102,806
518813,1102,807
536373,1102,808
535257,1102,809
535007,1102,810
524201,1102,811
529710,1102,812
534955,1101,813
515689,1101,814
520063,1101,815
502076,1101,816
547079,1101,817
548545,1101,818
526435,1101,819
542161,1101,820
516113,1101,821
534843,1101,822
513968,1101,823
549971,1101,824
515137,1101,825
523721,1101,826
500110,1101,827
535008,1101,828
515039,1101,829
530417,1100,830
501758,1100,831
500597,1100,832
517114,1100,833
533669,1100,834
515716,1100,835
538607,1100,836
526568,1100,837
503624,1100,838
524895,1100,839
526359,1100,840
514713,1100,841
535780,1100,842
517418,1100,843
535258,1100,844
523655,1100,845
550608,1100,846
532241,1100,847
550617,1100,848
515782,1099,849
515150,1099,850
531396,1099,851
538299,1099,852
519113,1099,853
523339,1099,854
511269,1099,855
534453,1099,856
519171,1099,857
535235,1099,858
503639,1099,859
526165,1099,860
526567,1099,861
522604,1099,862
500599,1099,863
514274,1099,864
515628,1099,865
524846,1099,866
536223,1098,867
523669,1098,868
544747,1098,869
518568,1098,870
535209,1098,871
545367,1098,872
525413,1098,873
510961,1098,874
519016,1098,875
504238,1098,876
515559,1098,877
535060,1098,878
534293,1098,879
550218,1098,880
502120,1098,881
502107,1098,882
529309,1098,883
506393,1098,884
524919,1098,885
502091,1098,886
517722,1098,887
534158,1098,888
533570,1098,889
539612,1097,890
531790,1097,891
514568,1097,892
530430,1097,893
518983,1097,894
545618,1097,895
542810,1097,896
538214,1097,897
515588,1097,898
507037,1097,899
548504,1097,900
511490,1097,901
503438,1097,902
507187,1097,903
504457,1097,904
509852,1097,905
515139,1097,906
523661,1097,907
547803,1097,908
540855,1097,909
524223,1097,910
546973,1097,911
538372,1097,912
515326,1097,913
523633,1096,914
514121,1096,915
501747,1096,916
525437,1096,917
525074,1096,918
516398,1096,919
518795,1096,920
519874,1096,921
539169,1096,922
511531,1096,923
524864,1096,924
538588,1096,925
518168,1096,926
537840,1096,927
547819,1096,928
515440,1096,929
519522,1096,930
514624,1096,931
518810,1096,932
528923,1096,933
526333,1096,934
526436,1096,935
507789,1096,936
538467,1095,937
515721,1095,938
514095,1095,939
512572,1095,940
525875,1095,941
545991,1095,942
524848,1095,943
537703,1095,944
532730,1095,945
517708,1095,946
519547,1095,947
510621,1095,948
529144,1095,949
516493,1095,950
517100,1095,951
533334,1095,952
538374,1095,953
514717,1095,954
524967,1095,955
504200,1095,956
501802,1095,957
514628,1095,958
514701,1095,959
527823,1095,960
509966,1094,961
524217,1094,962
504451,1094,963
534995,1094,964
514559,1094,965
501718,1094,966
514620,1094,967
537273,1094,968
526674,1094,969
500036,1094,970
502891,1094,971
524244,1094,972
507547,1094,973
514177,1094,974
515981,1094,975
522757,1094,976
511220,1094,977
537875,1094,978
532729,1094,979
518991,1094,980
526563,1094,981
504452,1094,982
508785,1094,983
515570,1093,984
522470,1093,985
502088,1093,986
546188,1093,987
502583,1093,988
502070,1093,989
515532,1093,990
534292,1093,991
518783,1093,992
516221,1093,993
516792,1093,994
504692,1093,995
535249,1093,996
514615,1093,997
517690,1093,998
535424,1093,999
535350,1093,1000
517108,1093,1001
511606,1093,1002
515156,1093,1003
525047,1092,1004
534176,1092,1005
519471,1092,1006
514709,1092,1007
512292,1092,1008
536372,1092,1009
501249,1092,1010
535044,1092,1011
500180,1092,1012
518526,1092,1013
535223,1092,1014
529666,1092,1015
524924,1092,1016
501694,1092,1017
525833,1092,1018
517758,1092,1019
515170,1092,1020
515016,1092,1021
503791,1092,1022
526559,1092,1023
546752,1092,1024
532054,1092,1025
528318,1092,1026
550639,1092,1027
533258,1091,1028
518395,1091,1029
515781,1091,1030
517130,1091,1031
518702,1091,1032
541475,1091,1033
528064,1091,1034
537813,1091,1035
540511,1091,1036
534436,1091,1037
518403,1091,1038
538453,1091,1039
504460,1091,1040
531404,1091,1041
514167,1091,1042
535968,1091,1043
524853,1091,1044
538450,1091,1045
524267,1091,1046
525082,1090,1047
514611,1090,1048
540387,1090,1049
524900,1090,1050
503426,1090,1051
525083,1090,1052
502362,1090,1053
514520,1090,1054
540149,1090,1055
505054,1090,1056
543048,1090,1057
525433,1090,1058
534576,1090,1059
504717,1090,1060
538322,1090,1061
523671,1090,1062
