Roll Number,Total Marks,Rank
117167,1230,399
108482,1230,400
102470,1230,401
103268,1230,402
103296,1230,403
112997,1230,404
124085,1230,405
116470,1230,406
110301,1230,407
117487,1230,408
100525,1230,409
115075,1230,410
130667,1230,411
114216,1230,412
116153,1230,413
103668,1230,414
123738,1230,415
112901,1230,416
130619,1230,417
116064,1230,418
113363,1230,419
115199,1229,420
127100,1229,421
113831,1229,422
103266,1229,423
123357,1229,424
103212,1229,425
119473,1229,426
107558,1229,427
113425,1229,428
122401,1229,429
125248,1229,430
124081,1229,431
101595,1229,432
103693,1229,433
113102,1229,434
130484,1229,435
121355,1229,436
114516,1229,437
103481,1229,438
116158,1229,439
117224,1229,440
132762,1228,441
117291,1228,442
112986,1228,443
111299,1228,444
103663,1228,445
115055,1228,446
113351,1228,447
123889,1228,448
112953,1228,449
122140,1228,450
131008,1228,451
113157,1228,452
113037,1228,453
109723,1228,454
109310,1228,455
100228,1228,456
104819,1228,457
113167,1228,458
117341,1228,459
130656,1228,460
105932,1228,461
113054,1228,462
110740,1228,463
113370,1228,464
113052,1228,465
117310,1228,466
113012,1228,467
116165,1228,468
114652,1227,469
117093,1227,470
121653,1227,471
111290,1227,472
113356,1227,473
119978,1227,474
110533,1227,475
103285,1227,476
115121,1227,477
101818,1227,478
124256,1227,479
110539,1227,480
112991,1227,481
106777,1227,482
117220,1227,483
100274,1227,484
100409,1227,485
108478,1227,486
116063,1227,487
100291,1227,488
130617,1227,489
115423,1227,490
126672,1227,491
100361,1227,492
100597,1227,493
130818,1227,494
110380,1227,495
103662,1227,496
115059,1227,497
103394,1227,498
103404,1227,499
100327,1227,500
103452,1227,501
113348,1227,502
103424,1227,503
102349,1227,504
126480,1227,505
112952,1226,506
116151,1226,507
117190,1226,508
121968,1226,509
117302,1226,510
112912,1226,511
102162,1226,512
110459,1226,513
113789,1226,514
110874,1226,515
123871,1226,516
112972,1226,517
115442,1226,518
103101,1226,519
130639,1226,520
103237,1226,521
109337,1226,522
110606,1226,523
122004,1226,524
112974,1226,525
124075,1226,526
118103,1226,527
130775,1226,528
103410,1226,529
113387,1226,530
103376,1226,531
114452,1226,532
112971,1226,533
116205,1225,534
121956,1225,535
105933,1225,536
100408,1225,537
117280,1225,538
100696,1225,539
103414,1225,540
103197,1225,541
112998,1225,542
108476,1225,543
130785,1225,544
105874,1225,545
103468,1225,546
108569,1225,547
104006,1225,548
133034,1225,549
112306,1225,550
110908,1225,551
123732,1225,552
101270,1225,553
101519,1225,554
113068,1225,555
100335,1225,556
126464,1224,557
116959,1224,558
117163,1224,559
116152,1224,560
113278,1224,561
118587,1224,562
115085,1224,563
121402,1224,564
115224,1224,565
109347,1224,566
119474,1224,567
112962,1224,568
112934,1224,569
125102,1224,570
124239,1224,571
112911,1224,572
112918,1224,573
105080,1224,574
114692,1224,575
100476,1224,576
109368,1224,577
126774,1224,578
115441,1224,579
109353,1224,580
115676,1224,581
100942,1224,582
115675,1224,583
104111,1224,584
113781,1224,585
116300,1224,586
105240,1223,587
103243,1223,588
123854,1223,589
110674,1223,590
133123,1223,591
117226,1223,592
130808,1223,593
109543,1223,594
112601,1223,595
103259,1223,596
130800,1223,597
123694,1223,598
121979,1223,599
122105,1223,600
130645,1223,601
117322,1223,602
100976,1223,603
112946,1223,604
113059,1223,605
101272,1223,606
114728,1223,607
126775,1223,608
103654,1223,609
122061,1223,610
116160,1223,611
103341,1223,612
112917,1223,613
130822,1223,614
113004,1223,615
123690,1223,616
115560,1223,617
115529,1223,618
116074,1223,619
123397,1223,620
101883,1222,621
127097,1222,622
115566,1222,623
113368,1222,624
109356,1222,625
103768,1222,626
112929,1222,627
123717,1222,628
103378,1222,629
118175,1222,630
103702,1222,631
123745,1222,632
130245,1222,633
103236,1222,634
100510,1222,635
110229,1222,636
103485,1222,637
108244,1222,638
100517,1222,639
113011,1222,640
113158,1222,641
124078,1222,642
103390,1222,643
122043,1222,644
113511,1222,645
124276,1222,646
112933,1221,647
103488,1221,648
113090,1221,649
109345,1221,650
104812,1221,651
117194,1221,652
108474,1221,653
117337,1221,654
131009,1221,655
113155,1221,656
103726,1221,657
113153,1221,658
109348,1221,659
110877,1221,660
113353,1221,661
103289,1221,662
116754,1221,663
107539,1221,664
114445,1221,665
115181,1221,666
110747,1221,667
119593,1221,668
115106,1221,669
121910,1221,670
119838,1221,671
103362,1221,672
115068,1221,673
116157,1221,674
100315,1220,675
119631,1220,676
100328,1220,677
113411,1220,678
124284,1220,679
122403,1220,680
131658,1220,681
113402,1220,682
103494,1220,683
115139,1220,684
109354,1220,685
113070,1220,686
132703,1220,687
124248,1220,688
115430,1220,689
109378,1220,690
105596,1220,691
123702,1220,692
130779,1220,693
101312,1220,694
100471,1220,695
112960,1220,696
111298,1220,697
113021,1220,698
125971,1220,699
123674,1220,700
112941,1220,701
103464,1220,702
103684,1220,703
124090,1220,704
103302,1220,705
117202,1220,706
115124,1220,707
113057,1220,708
115113,1220,709
112908,1220,710
117309,1220,711
127846,1220,712
131619,1219,713
117328,1219,714
109375,1219,715
121969,1219,716
114722,1219,717
110713,1219,718
121985,1219,719
103274,1219,720
103467,1219,721
131677,1219,722
114433,1219,723
114426,1219,724
113073,1219,725
110550,1219,726
100591,1219,727
103714,1219,728
103455,1219,729
128596,1219,730
110622,1219,731
118424,1219,732
130817,1219,733
123678,1219,734
103316,1219,735
100404,1219,736
101244,1219,737
100260,1219,738
115729,1219,739
117301,1219,740
130546,1219,741
100294,1219,742
111728,1219,743
113030,1219,744
103441,1219,745
102639,1219,746
103426,1219,747
109799,1219,748
117247,1219,749
103683,1219,750
111388,1219,751
122138,1219,752
103366,1219,753
103342,1219,754
112950,1218,755
113290,1218,756
113771,1218,757
113362,1218,758
116124,1218,759
103306,1218,760
115447,1218,761
103778,1218,762
119649,1218,763
110226,1218,764
124071,1218,765
122005,1218,766
112984,1218,767
101858,1218,768
104198,1218,769
110551,1218,770
123879,1218,771
103806,1218,772
104123,1218,773
123719,1218,774
103750,1218,775
112965,1218,776
124241,1218,777
104895,1218,778
114465,1218,779
110559,1218,780
130791,1218,781
112305,1218,782
118420,1218,783
130825,1218,784
103484,1218,785
116148,1218,786
100317,1218,787
112907,1218,788
123699,1218,789
105873,1218,790
114697,1218,791
113827,1218,792
121982,1218,793
103762,1218,794
112895,1218,795
124093,1218,796
109778,1218,797
104534,1218,798
130493,1217,799
117282,1217,800
133028,1217,801
115053,1217,802
115925,1217,803
113058,1217,804
105934,1217,805
103856,1217,806
117189,1217,807
123916,1217,808
103466,1217,809
111330,1217,810
103926,1217,811
121274,1217,812
112973,1217,813
160051,1217,814
109725,1217,815
122037,1217,816
109539,1217,817
130613,1217,818
103704,1217,819
123899,1217,820
126685,1217,821
125612,1217,822
103767,1217,823
113360,1217,824
123886,1217,825
110368,1217,826
121324,1217,827
113105,1217,828
101597,1217,829
121966,1217,830
105938,1217,831
121954,1217,832
122021,1217,833
131605,1217,834
130334,1217,835
115549,1217,836
105196,1216,837
132928,1216,838
100276,1216,839
105088,1216,840
112992,1216,841
110772,1216,842
105397,1216,843
113129,1216,844
130580,1216,845
125246,1216,846
112978,1216,847
112858,1216,848
103205,1216,849
113147,1216,850
110466,1216,851
113003,1216,852
105684,1216,853
103442,1216,854
109355,1216,855
110442,1216,856
116032,1216,857
110723,1216,858
130803,1216,859
114583,1216,860
103201,1216,861
103675,1216,862
123880,1216,863
121961,1216,864
103309,1216,865
102617,1216,866
124288,1215,867
114051,1215,868
104866,1215,869
111274,1215,870
105425,1215,871
113403,1215,872
113062,1215,873
108480,1215,874
115568,1215,875
100538,1215,876
123723,1215,877
110672,1215,878
103519,1215,879
113006,1215,880
100614,1215,881
103622,1215,882
124268,1215,883
124269,1215,884
124283,1215,885
110718,1215,886
112323,1215,887
124076,1215,888
112980,1215,889
115094,1215,890
115140,1215,891
112860,1215,892
115052,1215,893
123393,1215,894
108848,1215,895
124233,1215,896
124278,1215,897
116753,1215,898
103368,1215,899
110904,1215,900
101592,1215,901
105396,1215,902
109205,1215,903
105594,1215,904
113796,1214,905
115839,1214,906
121275,1214,907
103223,1214,908
105081,1214,909
105159,1214,910
117061,1214,911
111639,1214,912
117218,1214,913
103661,1214,914
104314,1214,915
103705,1214,916
113830,1214,917
103748,1214,918
102252,1214,919
103697,1214,920
103700,1214,921
115129,1214,922
100748,1214,923
106954,1214,924
112920,1214,925
109352,1214,926
118695,1214,927
103984,1214,928
102962,1214,929
115409,1214,930
113044,1214,931
113097,1214,932
105506,1214,933
113039,1214,934
100593,1214,935
109357,1214,936
110682,1214,937
122398,1214,938
113349,1214,939
110461,1214,940
110069,1214,941
130629,1214,942
113084,1214,943
113065,1214,944
109339,1214,945
112979,1214,946
130597,1214,947
114446,1214,948
132701,1214,949
119607,1213,950
112982,1213,951
115109,1213,952
100455,1213,953
104815,1213,954
124255,1213,955
123901,1213,956
115562,1213,957
115910,1213,958
109350,1213,959
101380,1213,960
115743,1213,961
102136,1213,962
123942,1213,963
113034,1213,964
103690,1213,965
114670,1213,966
124240,1213,967
112957,1213,968
115548,1213,969
125249,1213,970
113357,1213,971
130604,1213,972
131598,1213,973
100296,1213,974
112605,1213,975
123874,1213,976
110258,1213,977
123877,1213,978
115039,1213,979
130634,1213,980
123708,1213,981
103332,1213,982
104007,1213,983
103894,1213,984
100478,1213,985
130584,1213,986
113814,1213,987
115086,1213,988
113806,1213,989
103026,1213,990
100567,1213,991
112975,1212,992
112913,1212,993
130782,1212,994
112915,1212,995
115470,1212,996
123691,1212,997
109371,1212,998
118511,1212,999
113774,1212,1000
117331,1212,1001
126442,1212,1002
105430,1212,1003
103393,1212,1004
112968,1212,1005
119645,1212,1006
103240,1212,1007
114571,1212,1008
103024,1212,1009
113877,1212,1010
125967,1212,1011
128575,1212,1012
112884,1212,1013
124254,1212,1014
113166,1212,1015
111253,1212,1016
103842,1212,1017
100273,1212,1018
100271,1212,1019
103465,1212,1020
107135,1212,1021
115229,1212,1022
110523,1212,1023
133031,1212,1024
100129,1212,1025
104031,1212,1026
106735,1212,1027
109806,1212,1028
101824,1211,1029
103480,1211,1030
112988,1211,1031
103260,1211,1032
101246,1211,1033
117307,1211,1034
128664,1211,1035
113025,1211,1036
123739,1211,1037
122039,1211,1038
121977,1211,1039
107134,1211,1040
106858,1211,1041
122044,1211,1042
130626,1211,1043
114449,1211,1044
123675,1211,1045
113040,1211,1046
107133,1211,1047
110463,1211,1048
116210,1211,1049
123363,1211,1050
100695,1211,1051
114827,1211,1052
115101,1211,1053
125064,1211,1054
114531,1211,1055
113078,1211,1056
129006,1211,1057
130517,1211,1058
116145,1211,1059
127294,1211,1060
108481,1211,1061
109807,1211,1062
124267,1210,1063
104533,1210,1064
117343,1210,1065
101262,1210,1066
124277,1210,1067
116284,1210,1068
113041,1210,1069
117287,1210,1070
104542,1210,1071
122054,1210,1072
122082,1210,1073
117278,1210,1074
113106,1210,1075
105785,1210,1076
126215,1210,1077
110728,1210,1078
115462,1210,1079
109342,1210,1080
105429,1210,1081
100511,1210,1082
100515,1210,1083
103988,1210,1084
126557,1210,1085
106890,1210,1086
132554,1210,1087
103640,1210,1088
117364,1210,1089
109414,1210,1090
106891,1210,1091
114702,1210,1092
100303,1210,1093
112876,1210,1094
103649,1210,1095
117260,1210,1096
121271,1210,1097
127954,1210,1098
104535,1210,1099
113882,1210,1100
103371,1210,1101
124089,1210,1102
133206,1210,1103
119646,1210,1104
115056,1210,1105
100253,1210,1106
117185,1210,1107
121980,1210,1108
103255,1210,1109
124074,1210,1110
121718,1210,1111
113024,1210,1112
121272,1210,1113
130793,1210,1114
126350,1210,1115
124098,1210,1116
103222,1210,1117
103671,1210,1118
113791,1210,1119
116972,1210,1120
109535,1209,1121
113347,1209,1122
124230,1209,1123
126533,1209,1124
130771,1209,1125
114834,1209,1126
130576,1209,1127
125147,1209,1128
115041,1209,1129
107538,1209,1130
123383,1209,1131
113056,1209,1132
105335,1209,1133
110471,1209,1134
127402,1209,1135
113026,1209,1136
112468,1209,1137
115233,1209,1138
113358,1209,1139
116073,1209,1140
115479,1209,1141
103105,1209,1142
105101,1209,1143
103405,1209,1144
113010,1209,1145
117332,1209,1146
109376,1209,1147
108941,1209,1148
130489,1209,1149
110673,1209,1150
109369,1209,1151
106978,1209,1152
113069,1209,1153
103312,1209,1154
113081,1209,1155
111623,1209,1156
104115,1209,1157
113087,1209,1158
115262,1209,1159
130798,1209,1160
114045,1209,1161
124246,1209,1162
108175,1209,1163
110736,1208,1164
112916,1208,1165
115289,1208,1166
111267,1208,1167
115936,1208,1168
111628,1208,1169
112649,1208,1170
122008,1208,1171
110306,1208,1172
103477,1208,1173
115057,1208,1174
105597,1208,1175
121794,1208,1176
122023,1208,1177
111284,1208,1178
103708,1208,1179
124028,1208,1180
110610,1208,1181
131010,1208,1182
103286,1208,1183
109377,1208,1184
103692,1208,1185
103857,1208,1186
110542,1208,1187
110712,1208,1188
110590,1208,1189
130788,1208,1190
114726,1208,1191
113982,1208,1192
113997,1208,1193
112026,1208,1194
107881,1208,1195
124951,1208,1196
114432,1208,1197
108477,1208,1198
114091,1208,1199
113258,1208,1200
112963,1208,1201
117784,1208,1202
104172,1208,1203
122148,1208,1204
121328,1208,1205
117365,1208,1206
110858,1208,1207
119608,1208,1208
103383,1208,1209
121957,1208,1210
121720,1208,1211
108845,1208,1212
115425,1208,1213
114558,1208,1214
117204,1208,1215
123921,1207,1216
123703,1207,1217
113193,1207,1218
105158,1207,1219
104327,1207,1220
103437,1207,1221
103740,1207,1222
121955,1207,1223
119007,1207,1224
103720,1207,1225
116760,1207,1226
109358,1207,1227
123716,1207,1228
121363,1207,1229
103647,1207,1230
103433,1207,1231
113365,1207,1232
100522,1207,1233
103766,1207,1234
103774,1207,1235
114717,1207,1236
117345,1207,1237
100270,1207,1238
115451,1207,1239
104645,1207,1240
110744,1207,1241
130773,1207,1242
103323,1207,1243
100014,1207,1244
100227,1207,1245
106632,1206,1246
113375,1206,1247
121995,1206,1248
124247,1206,1249
127020,1206,1250
112563,1206,1251
108176,1206,1252
130804,1206,1253
110249,1206,1254
108238,1206,1255
123360,1206,1256
114013,1206,1257
115112,1206,1258
105077,1206,1259
110303,1206,1260
108497,1206,1261
113807,1206,1262
102648,1206,1263
116909,1206,1264
160022,1206,1265
110445,1206,1266
102613,1206,1267
103453,1206,1268
130783,1206,1269
100479,1206,1270
114126,1206,1271
118663,1206,1272
100445,1206,1273
103989,1206,1274
100513,1206,1275
115456,1206,1276
125528,1206,1277
116142,1206,1278
110928,1206,1279
123900,1206,1280
114457,1206,1281
110716,1206,1282
131089,1206,1283
110609,1206,1284
113127,1206,1285
105879,1206,1286
132237,1206,1287
124091,1206,1288
110726,1206,1289
113071,1206,1290
126776,1206,1291
113033,1205,1292
100368,1205,1293
127019,1205,1294
120000,1205,1295
109379,1205,1296
103343,1205,1297
100281,1205,1298
103408,1205,1299
106684,1205,1300
115541,1205,1301
130550,1205,1302
110642,1205,1303
130630,1205,1304
114549,1205,1305
115752,1205,1306
123914,1205,1307
108607,1205,1308
103709,1205,1309
121984,1205,1310
124299,1205,1311
126585,1205,1312
114844,1205,1313
115092,1205,1314
117181,1205,1315
121831,1205,1316
116156,1205,1317
101596,1205,1318
103981,1205,1319
126331,1205,1320
107532,1205,1321
115196,1205,1322
124253,1205,1323
109551,1205,1324
130674,1205,1325
126924,1205,1326
103218,1205,1327
101293,1205,1328
129076,1205,1329
127398,1205,1330
116817,1205,1331
108086,1205,1332
132818,1205,1333
109175,1205,1334
117498,1204,1335
121358,1204,1336
130789,1204,1337
103701,1204,1338
124097,1204,1339
122053,1204,1340
104541,1204,1341
112749,1204,1342
117491,1204,1343
130790,1204,1344
114724,1204,1345
127987,1204,1346
112882,1204,1347
114700,1204,1348
115882,1204,1349
105302,1204,1350
109349,1204,1351
121723,1204,1352
116097,1204,1353
105604,1204,1354
132821,1204,1355
100126,1204,1356
103320,1204,1357
119833,1204,1358
122146,1204,1359
105886,1204,1360
113801,1204,1361
103447,1204,1362
117289,1204,1363
103584,1204,1364
130607,1204,1365
113099,1204,1366
110135,1204,1367
130514,1204,1368
126531,1204,1369
116761,1204,1370
130203,1204,1371
113150,1204,1372
132188,1204,1373
115514,1203,1374
123722,1203,1375
100488,1203,1376
124272,1203,1377
124285,1203,1378
113029,1203,1379
114565,1203,1380
111321,1203,1381
133490,1203,1382
100456,1203,1383
103353,1203,1384
119227,1203,1385
115520,1203,1386
130691,1203,1387
105935,1203,1388
121048,1203,1389
102137,1203,1390
126435,1203,1391
121337,1203,1392
111216,1203,1393
123378,1203,1394
108168,1203,1395
121276,1203,1396
115393,1203,1397
110715,1203,1398
100286,1203,1399
105253,1203,1400
127241,1203,1401
117214,1203,1402
122096,1203,1403
100370,1203,1404
113121,1203,1405
114467,1203,1406
116239,1203,1407
132700,1203,1408
121962,1203,1409
115334,1203,1410
111627,1203,1411
109533,1203,1412
121988,1203,1413
127364,1203,1414
104188,1203,1415
113083,1203,1416
117273,1203,1417
115260,1203,1418
100289,1203,1419
103682,1203,1420
113050,1202,1421
111291,1202,1422
115169,1202,1423
117485,1202,1424
100704,1202,1425
113042,1202,1426
131675,1202,1427
124446,1202,1428
118200,1202,1429
103585,1202,1430
110771,1202,1431
103818,1202,1432
121391,1202,1433
121392,1202,1434
127099,1202,1435
103666,1202,1436
124257,1202,1437
107660,1202,1438
121375,1202,1439
113896,1202,1440
103819,1202,1441
123701,1202,1442
115074,1202,1443
125974,1202,1444
106785,1202,1445
121329,1202,1446
123727,1202,1447
123309,1202,1448
105076,1202,1449
100524,1202,1450
127244,1202,1451
124266,1202,1452
103783,1202,1453
113133,1202,1454
114037,1202,1455
108486,1202,1456
130658,1202,1457
124082,1202,1458
100337,1202,1459
121986,1202,1460
110714,1202,1461
114760,1202,1462
115458,1202,1463
103732,1202,1464
117373,1202,1465
116386,1202,1466
114479,1202,1467
112942,1202,1468
110514,1202,1469
124872,1202,1470
121709,1202,1471
107842,1202,1472
130811,1202,1473
113464,1202,1474
103451,1202,1475
126925,1202,1476
113109,1202,1477
110575,1202,1478
103508,1202,1479
116455,1201,1480
111225,1201,1481
122630,1201,1482
117785,1201,1483
110935,1201,1484
113045,1201,1485
121960,1201,1486
130690,1201,1487
115531,1201,1488
